Name,Year
AL Wadekar,1974-1974
S Venkataraghavan,1975-1979
BS Bedi,1976-1978
SM Gavaskar,1980-1985
GR Viswanath,1981-1981
N Kapil Dev,1982-1987
SMH Kirmani,1983-1983
M Amarnath,1984-1984
RJ Shastri,1987-1991
DB Vengsarkar,1987-1989
K Srikkanth,1989-1989
M Azharuddin,1990-1999
SR Tendulkar,1996-2000
A Jadeja,1998-1999
SC Ganguly,1999-2005
R Dravid,2000-2007
A Kumble,2002-2002
V Sehwag,2003-2012
MS Dhoni,2007-2018
SK Raina,2010-2014
G Gambhir,2010-2011
V Kohli,2013-2021
AM Rahane,2015-2015
RG Sharma,2017-2019
S Dhawan,2021-2021
KL Rahul,2022-2022
